Strike,OptionType,Volume,Open,ExtValue,Rho,Theta,Vega,Gamma,NDelta,Î”|Delta,Last,Size,IV Bid,Bid,Mark,Ask,IV Ask,Size,Last_USD,Bid_USD,Ask_USD
20000,C,-,33,,64.25957,-0.43105,1.01796,-,,0.99955,0.825,44.8,-,0.8195,0.8206,0.8215,129.46,53.9,"89,813","4,877,107","89,432"
20000,P,-,538.4,,-0.18905,-0.43104,1.01793,-,,-0.00045,0.0001,-,-,-,0.0001,0.0001,101.85,13.4,11,  ,11
30000,C,-,32.4,,96.02498,-1.15624,3.19381,-,,0.99844,0.7475,32.5,-,0.73,0.731,0.7325,107.37,53.9,"81,376","3,538,080","79,743"
30000,P,0.5,309.4,,-0.64797,-1.15624,3.19381,-,,-0.00156,0.0002,0.1,83.38,0.0002,0.0002,0.0005,91.85,25.4,22,"10,886",54
40000,C,-,20.2,,127.0504,-2.64126,8.26667,-,,0.99554,0.6675,33.6,-,0.6405,0.6417,0.643,86.54,34.2,"72,667","3,657,830","70,000"
40000,P,-,322.1,,-1.84678,-2.64116,8.26637,-,,-0.00446,0.0009,38.7,72.48,0.0005,0.0007,0.0009,77.85,20.6,98,"4,213,037",98
50000,C,-,35.6,,156.79893,-4.98511,17.59783,-,,0.9895,0.571,33.9,51.1,0.5515,0.5529,0.5545,74.7,31.9,"62,161","3,690,490","60,365"
50000,P,-,868.5,,-4.32265,-4.98511,17.59783,-,,-0.0105,0.0015,38.7,65.08,0.0013,0.0015,0.0017,67.65,0.1,163,"4,213,037",185
60000,C,-,8.7,,184.53387,-8.1476,32.61655,-,,0.97846,0.486,31.3,54.48,0.4635,0.4646,0.4665,64.35,32,"52,908","3,407,443","50,785"
60000,P,3,565.8,,-8.81162,-8.1473,32.61535,-,,-0.02154,0.003,0.1,58.43,0.0029,0.003,0.0032,59.44,0.1,327,"10,886",348
65000,C,-,1,,196.75775,-10.47929,44.31738,-,,0.96893,0.446,15.9,-,0.3975,0.421,0.4485,93.22,15.9,"48,553","1,730,938","48,826"
65000,P,3,1877.4,,-12.7003,-10.47929,44.31738,-,,-0.03107,0.004,35.7,54.88,0.004,0.0043,0.0045,56.14,0.1,435,"3,886,445",490
70000,C,-,13.5,,207.70852,-13.08781,58.61863,-,,0.95625,0.393,43.9,48.65,0.376,0.3779,0.38,56.28,31.2,"42,784","4,779,130","41,368"
70000,P,-,1007.3,,-17.86168,-13.08781,58.61863,-,,-0.04375,0.005,68.7,51.57,0.0055,0.006,0.0065,53.48,26.7,544,"7,478,957",708
75000,C,-,58.4,,215.69904,-16.88559,78.74865,-,,0.93652,0.3585,43.2,46.83,0.3335,0.3359,0.338,53.3,36.1,"39,028","4,702,925","36,796"
75000,P,1,1787.4,,-25.98332,-16.88559,78.74865,-,,-0.06348,0.009,1.2,49.9,0.0085,0.0089,0.009,50.62,0.1,980,"130,637",980
80000,C,-,246.2,,221.59815,-20.69353,101.27906,0.00001,,0.91171,0.318,42.9,45.62,0.2925,0.2946,0.2965,50.05,31.8,"34,619","4,670,266","32,278"
80000,P,48.9,1995.9,,-36.1979,-20.69413,101.28197,0.00001,,-0.0883,0.0125,47.3,47.51,0.012,0.0125,0.0125,48.06,0.1,"1,361","5,149,267","1,361"
85000,C,-,175.6,,223.42221,-25.29324,128.49971,0.00001,,0.87736,0.2565,42.8,43.88,0.2525,0.2552,0.257,47.83,33.8,"27,924","4,659,379","27,978"
85000,P,33.3,2310.8,,-50.48447,-25.29324,128.49971,0.00001,,-0.12264,0.0175,2.2,45.92,0.0175,0.0179,0.018,46.35,0.1,"1,905","239,501","1,960"
90000,C,0.5,906.1,,221.97327,-29.54938,156.86101,0.00001,,0.83528,0.214,43.2,42.75,0.215,0.2172,0.2195,45.95,35,"23,297","4,702,925","23,896"
90000,P,4.1,2110.7,,-68.04556,-29.54938,156.86101,0.00001,,-0.16472,0.025,0.2,44.12,0.0245,0.0248,0.0255,44.83,46.4,"2,722","21,773","2,776"
95000,C,0.2,737,,214.95368,-34.21759,186.889,0.00001,,0.78087,0.1755,14.4,41.69,0.18,0.1823,0.185,44.67,43.9,"19,106","1,567,642","20,140"
95000,P,90.1,1639.9,,-91.17416,-34.21705,186.88605,0.00001,,-0.21913,0.0361,55.8,42.62,0.034,0.0348,0.035,43.21,0.1,"3,930","6,074,611","3,810"
100000,C,2.1,1474.9,,203.19565,-38.36898,214.22568,0.00001,,0.71652,0.1465,15.4,40.73,0.148,0.1507,0.1525,43.07,0.1,"15,949","1,676,506","16,602"
100000,P,3.8,2161.6,,-119.0475,-38.36898,214.22568,0.00001,,-0.28348,0.0485,0.4,41.86,0.0475,0.048,0.0485,42.38,0.1,"5,280","43,546","5,280"
105000,C,0.4,1302.2,,187.43504,-41.48775,235.61031,0.00001,,0.64461,0.123,13.7,40.87,0.1215,0.1227,0.1235,41.81,0.1,"13,390","1,491,437","13,445"
105000,P,24.2,2206.3,,-150.92027,-41.48775,235.61031,0.00001,,-0.35539,0.0665,9.3,41.01,0.064,0.0649,0.0655,41.72,8.7,"7,239","1,012,435","7,131"
110000,C,22,1515.2,,168.57461,-43.5559,248.6448,0.00002,,0.56854,0.099,4,40.93,0.0985,0.0991,0.0995,41.38,7.5,"10,778","435,456","10,832"
110000,P,2.9,1881,,-185.89285,-43.5559,248.6448,0.00002,,-0.43146,0.087,0.4,40.68,0.085,0.0862,0.086,41.13,0.1,"9,471","43,546","9,362"
115000,C,19.4,1381.8,,148.50201,-43.82332,252.33007,0.00002,,0.4922,0.0785,8.6,40.55,0.078,0.0787,0.079,41,0.1,"8,546","936,230","8,600"
115000,P,22.3,604.8,,-222.07761,-43.82332,252.33007,0.00002,,-0.5078,0.112,0.3,40.37,0.1095,0.1106,0.111,41.03,0.1,"12,193","32,659","12,084"
120000,C,42,3153.8,,128.2072,-42.78425,247.1567,0.00002,,0.41899,0.062,18,40.28,0.061,0.062,0.0625,40.96,0.3,"6,750","1,959,552","6,804"
120000,P,20.4,700.6,,-258.48458,-42.78425,247.1567,0.00002,,-0.58101,0.14,1,40.15,0.1375,0.1388,0.142,42.17,12.2,"15,241","108,864","15,459"
125000,C,20.4,3750.1,,108.90194,-40.69579,234.77597,0.00001,,0.35188,0.0475,28,40.24,0.0475,0.0486,0.049,40.95,0.3,"5,171","3,048,192","5,334"
125000,P,0.1,323.1,,-293.90619,-40.69501,234.77146,0.00001,,-0.64813,0.1725,41.4,39.21,0.167,0.1703,0.1735,42.29,10.7,"18,779","4,506,970","18,888"
130000,C,69,4398.2,,91.37,-37.86594,217.42522,0.00001,,0.29252,0.038,0.6,40.66,0.0375,0.0381,0.0385,41.18,0.3,"4,137","65,318","4,191"
130000,P,-,242.9,,-327.54996,-37.86502,217.41993,0.00001,,-0.70749,0.2044,39.8,39.35,0.2015,0.2046,0.208,42.68,9.6,"22,252","4,332,787","22,644"
135000,C,2.3,999.7,,75.85876,-34.51574,197.09833,0.00001,,0.24098,0.03,30,40.78,0.029,0.0297,0.03,41.34,0.1,"3,266","3,265,920","3,266"
135000,P,2,110.5,,-359.16601,-34.51675,197.10407,0.00001,,-0.75901,0.246,34.1,39.4,0.238,0.2411,0.2445,43.07,38.5,"26,781","3,712,262","26,617"
140000,C,92.4,10203.4,,62.64661,-31.06184,175.90981,0.00001,,0.19776,0.0235,0.6,41.34,0.023,0.0233,0.0235,41.66,0.1,"2,558","65,318","2,558"
140000,P,-,158.5,,-388.4938,-31.06184,175.90981,0.00001,,-0.80224,0.2505,33.6,39.54,0.2765,0.2796,0.283,43.66,37.6,"27,270","3,657,830","30,809"
145000,C,7.1,534.4,,51.73719,-27.78205,155.50684,0.00001,,0.16253,0.0185,26.9,41.69,0.018,0.0185,0.0185,42.05,0.1,"2,014","2,928,442","2,014"
145000,P,-,0.1,,-415.51538,-27.78205,155.50684,0.00001,,-0.83747,0.281,7.5,-,0.2685,0.3196,0.382,76.12,7.5,"30,591","816,480","41,586"
150000,C,410.3,5218,,42.64138,-24.62171,136.23214,0.00001,,0.1334,0.0145,35.5,41.97,0.014,0.0147,0.015,42.79,0.7,"1,579","3,864,672","1,633"
150000,P,-,3.7,,-440.72567,-24.6207,136.22659,0.00001,,-0.86661,0.274,7.1,-,0.309,0.3606,0.424,78.97,7.1,"29,829","772,934","46,158"
160000,C,43.9,6143.9,,29.39737,-19.33427,103.94833,0.00001,,0.09144,0.0095,60.7,43.12,0.009,0.0096,0.01,44.2,0.5,"1,034","6,608,045","1,089"
160000,P,-,476,,-486.19339,-19.33338,103.94352,0.00001,,-0.90857,0.327,30.6,39.82,0.442,0.4453,0.4485,46.94,31.7,"35,599","3,331,238","48,826"
170000,C,828.4,2798.4,,20.66812,-15.20044,79.29312,-,,0.06404,0.0065,43.5,44.39,0.006,0.0065,0.007,45.8,51.7,708,"4,735,584",762
170000,P,-,15.4,,-527.14524,-15.20044,79.29312,-,,-0.93596,0.4713,35,36.74,0.5275,0.5319,0.5355,49.5,29,"51,308","3,810,240","58,297"
180000,C,14.8,3492,,15.1801,-12.32466,62.05203,-,,0.04696,0.0044,0.6,46.38,0.0045,0.0047,0.0049,47.1,0.1,479,"65,318",533
180000,P,-,0.4,,-564.85854,-12.324,62.04873,-,,-0.95304,0.5075,5.6,-,0.5625,0.6199,0.688,97.19,5.6,"55,248","609,638","74,898"
190000,C,7.1,1767.8,,11.59104,-10.27151,49.84225,-,,0.03584,0.0032,1.1,48.11,0.0034,0.0036,0.0037,48.78,0.1,348,"119,750",403
190000,P,-,-,,-600.67095,-10.27151,49.84225,-,,-0.96416,-,5.3,-,0.6485,0.7085,0.779,103.57,5.3,  ,"576,979","84,805"
200000,C,2,8503.5,,9.18476,-8.80002,41.14224,-,,0.02841,0.0024,1.6,49.94,0.0027,0.0028,0.0029,50.49,0.1,261,"174,182",316
200000,P,-,21.1,,-635.30213,-8.79953,41.13995,-,,-0.97159,0.724,28.9,-,0.793,0.7975,0.8015,58.35,28.9,"78,818","3,146,170","87,254"
210000,C,-,293.3,,6.92115,-7.07828,32.40205,-,,0.02137,0.0022,0.7,50.68,0.0019,0.0021,0.0023,52.05,0.1,240,"76,205",250
210000,P,-,-,,-669.78946,-7.07828,32.40205,-,,-0.97863,-,4.7,-,0.8215,0.8865,0.962,115.68,4.7,  ,"511,661","104,727"
220000,C,-,280.6,,5.55133,-6.03618,26.86383,-,,0.01714,0.0016,0.2,52.06,0.0015,0.0017,0.0019,53.71,0.1,174,"21,773",207
220000,P,-,-,,-703.3836,-6.03618,26.86383,-,,-0.98286,-,4.5,-,0.908,0.9758,1.054,121.52,4.5,  ,"489,888","114,743"
230000,C,0.9,221.1,,4.6536,-5.35601,23.11096,-,,0.01439,0.0014,0.5,53.88,0.0013,0.0014,0.0016,55.32,0.1,152,"54,432",174
230000,P,-,-,,-736.50565,-5.35601,23.11096,-,,-0.98561,-,4.3,-,0.9945,1.0653,1.146,127.07,4.3,  ,"468,115","124,758"
240000,C,-,226.9,,3.91563,-4.74365,19.92073,-,,0.01211,0.0011,1.3,54.76,0.001,0.0012,0.0014,57.03,0.1,120,"141,523",152
240000,P,-,0.1,,-769.46793,-4.74365,19.92073,-,,-0.98789,1.2635,4.1,-,1.0815,1.1548,1.238,132.38,4.1,"137,550","446,342","134,774"
260000,C,-,196.8,,2.66526,-3.52337,14.23555,-,,0.00824,0.0007,38.2,56.29,0.0006,0.0008,0.001,59.53,0.1,76,"4,158,605",109
260000,P,-,-,,-835.16711,-3.52316,14.2347,-,,-0.99176,-,3.8,-,1.254,1.3339,1.423,142.91,3.8,  ,"413,683","154,913"
280000,C,-,140.8,,1.87185,-2.66629,10.41797,-,,0.00579,0.0007,43.2,58.07,0.0004,0.0006,0.0008,62.33,10.9,76,"4,702,925",87
280000,P,-,-,,-900.40897,-2.66629,10.41797,-,,-0.99421,-,3.5,-,1.428,1.5131,1.608,152.71,3.5,  ,"381,024","175,053"
300000,C,-,297.9,,1.28996,-1.95799,7.46793,-,,0.00398,0.0004,45.8,58.04,0.0002,0.0004,0.0006,64.3,0.1,44,"4,985,971",65
300000,P,-,0.1,,-965.4395,-1.95799,7.46793,-,,-0.99602,2.56,32.2,-,1.684,1.6924,1.6995,88.75,28.9,"278,692","3,505,421","185,014"
320000,C,-,169.4,,1.13561,-1.83391,6.68223,-,,0.00352,0.0004,38.2,61.32,0.0002,0.0004,0.0005,66.65,0.1,44,"4,158,605",54
320000,P,-,-,,-1030.0424,-1.83402,6.68264,-,,-0.99648,-,3.1,-,1.775,1.8718,1.979,171.11,3.1,  ,"337,478","215,442"
340000,C,-,255.1,,0.7791,-1.32039,4.74919,-,,0.00241,0.0003,38.6,60.9,0.0001,0.0002,0.0005,69.9,25,33,"4,202,150",54
340000,P,-,-,,-1094.84756,-1.32047,4.74948,-,,-0.99759,-,2.9,-,1.948,2.0512,2.1645,179.59,2.9,, -   , -   
400000,C,2.1,605.4,,0.54326,-1.05168,3.44447,-,,0.00169,0.0002,25.5,68.65,0.0001,0.0002,0.0003,74.99,25, -   , -   , -   
400000,P,-,-,,-1288.42934,-1.05168,3.44447,-,,-0.99831,3.73,2.5,-,2.4685,2.5895,2.722,203.32,2.5, -   , -   , -   